Name,Position (Latitude),Position (Longitude),Message,Address,Hours,Price,Video URL,영업 시간,Seating Type 1,Seating Count 1,Power Count 1,Seating Type 2,Seating Count 2,Power Count 2,Seating Type 3,Seating Count 3,Power Count 3,Seating Type 4,Seating Count 4,Power Count 4,Seating Type 5,Seating Count 5,Power Count 5,Co-work,ID
진주리,37.5867,126.9963,"권장 시간만 지켜주신다면, 카공은 언제나 환영입니다!",서울 종로구 성균관로7길 3 지하1층,2시간 ,"4,000원",https://youtube.com/shorts/jRQfKyqqgP4,"평일 12:00~22:00
토 13:00~22:00
일 13:00~20:00
*매주 목 정기휴무",1인석,3,0,2인석,1,0,3인석,2,2,4인석,2,0,5인석,1,0,0,1054975307
델라,37.58538,126.9971,3시간이 지나면 디저트나 음료를 추가로 주문 해주시면 감사하겠습니다.,"서울 종로구 성균관로 30 1,2층",3시간,"3,500원",https://youtube.com/shorts/EgN7rzMCNuE,매일 08:00~22:00,1인석,6,0,2인석,10,9,4인석,5,4,,,,,,,0,1111332307
벨하우스,37.58454,126.9976,2층에 카공할 공간이 마련되어 있습니다! 많이 방문해주세요.,"서울 종로구 성균관로4길 3 1, 2층",무제한,"4,000원",https://youtube.com/shorts/JO6ohDYM2Tc,"매일 11:00~21:00
20:00 라스트오더
*매주 월 정기휴무",2인석,7,5,,,,,,,,,,,,,0,1071513207
마띠에르,37.58232,126.9993,"카공하시는 분들이 별로 없어서, 카공에 대해 고려해본 적이 없어요.",서울 종로구 대학로11길 41-6 1층,1시간,"6,000원",https://youtube.com/shorts/BJ_-l80FiIY,매일 11:00~20:50,2인석,5,2,3인석,3,0,5인석,2,0,,,,,,,0,782133904
칠린,37.58213,126.9993,커피와 술을 함께 판매하고 있어 카공하기에 좋은 분위기가 아니니 참고 부탁드려요!,서울 종로구 대학로11길 41-8 1층 chillin,1시간,"4,500원",https://youtube.com/shorts/5Bdg1GOb7pc,"매일 12:00~24:00
23:30 라스트오더",2인석,6,3,4인석,1,0,6인석,1,0,16인석,1,0,,,,0,1067900892
로젤,37.58182,126.9995,주말에는 제한이 있지만 평일에는 환영입니다!,서울 종로구 창경궁로26길 33 1층,"평일 무제한
주말 2시간","4,000원",https://youtube.com/shorts/wmcCeudUc1A,매일 11:00~23:00,1인석,4,2,2인석,2,1,3인석,1,0,4인석,2,1,5인석,1,1,0,678589827
커피가게 디터틀,37.5815,126.9996,"한옥 분위기이며, 콘센트가 없으니 참고해주세요!",서울 종로구 대학로9가길 14 디터틀,2시간~3시간,"4,000원",https://youtube.com/shorts/_irfee1voD8,"일~월 11:00~22:00
화~토 11:00~23:00",2인석,8,1,3인석,1,0,6인석,1,0,,,,,,,0,1765894316
카페 혜화동,37.58186,126.9999,조용하고 작은 카페입니다! 카공하기에 나쁘지 않아요.,서울 종로구 창경궁로26길 40 2층,2시간,"5,000원",https://youtube.com/shorts/IZId28BfjiE,"매일 12:00~22:00
21:30 라스트오더",2인석,3,0,3인석,2,1,,,,,,,,,,0,575297453
서화커피,37.58156,127,책상과 의자가 작은 한옥 분위기의 카페입니다! 카공하기에 좋은 분위기가 아니니 참고해주세요!,서울 종로구 대학로9가길 8 1층 서화커피,2시간,"4,500원",https://youtube.com/shorts/P__mmuZO-qk,매일 11:00~22:00,2인석,3,0,3인석,2,1,,,,,,,,,,0,1223984349
카페랑솜,37.58229,127.0004,"책상과 의자가 작고, 회전율이 높아 카공하기에 좋은 분위기가 아니니 참고해주세요!",서울 종로구 대학로11길 22,1시간,"4,500원",https://youtube.com/shorts/o9iEWgp8cYg,매일 11:30~22:30,1인석,1,0,2인석,12,0,3인석,3,0,4인석,5,3,6인석,1,0,0,1822481162
스노브,37.58242,127.0011,카공 시간에 대한 제한이 없어요! ,서울 종로구 대학로11길 12,무제한,"3,500원",https://youtube.com/shorts/mdguVic216U,"일~목 11:00~21:30
금~토 11:00~22:00",2인석,8,1,3인석,4,0,,,,,,,,,,0,26451323
콘크리트팔레트,37.58248,127.0016,"카공 시간에 대한 제한이 없어요! 3층으로 되어있어 공간이 큰 편이라, 카공하기에 좋은 편입니다. ",서울 종로구 대학로 125 콘크리트 팔레트,무제한,"5,000원",https://youtube.com/shorts/W5I9Ojplw-w,"일~목 10:00~22:00
금~토 11:00~24:00",1인석,10,10,2인석,13,7,4인석,6,2,11인석,1,1,,,,0,1430842424
언니네 다락방,37.58202,127.0004,노트북 사용은 자제해주시면 감사하겠습니다. ,서울 종로구 대학로11길 23 1F,2시간,"4,300원",,"월 12:00~18:30
17:30 라스트오더
화~토 12:00~21:30
21:00 라스트오더
*매주 일 휴무",1인석,2,0,2인석,2,0,4인석,2,0,,,,,,,0,1769436835
에디션엠,37.58213,127.0009,"카공 시간에 대한 제한이 없어요! 한옥 분위기이며, 좌석의 형태가 매우 다양하고, 공간이 큰 편이라 카공하기에 나쁘지 않습니다!","서울 종로구 대학로11길 17-2 1층층 대학로11길 17-3(1 층), 대학로11길17-6(1층)",무제한,"5,000원",https://youtube.com/shorts/umZk84uE5Ac,"매일 11:00~23:00
21:30 라스트오더",2인석,14,2,3인석,11,4,4인석,3,0,10인석,1,0,,,,0,1761099960
헤이커피,37.58204,127.0006,카공 시간에 대한 제한이 없어요! ,서울 종로구 대학로11길 19-4 헤이커피,무제한,"4,500원",https://youtube.com/shorts/QnUMC-jAdLs,"월~금 12:00~22:00
토 13:00~22:00
21:30 라스트오더
*매주 일 휴무",1인석,4,1,2인석,2,1,3인석,2,0,4인석,3,0,,,,0,1937637283
세이버리 바이츠,37.58177,127.0005,"카공 시간에 대한 제한은 없지만, 카공하는 분위기가 아니에요… 맛있는 디저트를 즐기는 분위기 입니다! (회전율이 높은 편입니다.)",서울 종로구 대학로9길 28 1층,1시간,"4,500원",https://youtube.com/shorts/6rd7DoNgSfg,매일 11:00~21:00,1인석,7,0,2인석,3,1,3인석,1,0,4인석,1,0,,,,0,331910577
학림 커피,37.58151,127.0006,"카공 시간에 대한 제한은 없지만, 좌석의 수가 적고, 1인석이 없어요…",서울 종로구 대학로9길 23,무제한,"6,000원",https://youtube.com/shorts/tt5IaSe6mxs,"평일 11:00~21:00
주말 11:00~20:00",1인석,3,1,2인석,1,0,3인석,2,0,8인석,1,0,,,,0,15419388
플로릭카페,37.598405,127.054409,X,서울 동대문구 천장산로7길 64 1층,3시간,"3,000원",https://youtube.com/shorts/Vl3EYm1cA0w,"평일 09:00~20:00
토~일 12:00~18:00",1인석,4,4,2인석,8,1,4인석,2,2,,,,,,,0,27305218
헬로펠라스,37.598225,127.054467,애티켓만 지켜주신다면 좋습니다!,서울 동대문구 천장산로7길 62 2층,3시간,"3,000원",https://youtube.com/shorts/8_SkecNVexM?feature=share,"평일 07:20~19:00
18:50 라스트 오더
토 10:00~15:00
14:50 라스트 오더
*매주 일요일 휴무",1인석,20,15,2인석,10,4,3인석,3,1,4인석,1,,,,,0,1415631766
어빌리티커피,37.598259,127.056572,X,서울 동대문구 이문로9나길 6-14 1층 어빌리티커피,무제한,"4,000원",https://youtube.com/shorts/fbSqwtm2BMg,"평일 08:00~23:00
토일 09:00~22:00",1인석,16,,2인석,17,17,7인석,1,,,,,,,,0,1554090984
컴플리트커피,37.598267,127.05679,3시간 이상 체류 시 추가주문 부탁드려요~,서울 동대문구 천장산로7길 19 지하1층,3시간,"3,000원",https://youtube.com/shorts/iHZh4tCMDDg,"평일 08:00~23:00
토일 10:00~22:00",1인석,6,6,2인석,16,10,6인석,1,,,,,,,,0,13333488
미바드래프트,37.598614,127.057414,4인석 밖에 없어요ㅠㅠ 단체 스터디 환영합니다!,서울 동대문구 천장산로7길 8 완후빌딩 2층,3시간,"4,900원",https://youtube.com/shorts/VEXqtjtW9Tw?feature=share,"매일 12:00~23:00
22:45 라스트 오더",1인석,20,4,2인석,4,,4인석,5,,6인석,1,,,,,0,1793615834
크레이저커피,37.598675,127.057873,티켓만 지켜주신다면 환영합니다! 1인 1메뉴 필수입니다!,서울 동대문구 천장산로 32-2,무제한,"4,900원",https://file.notion.so/f/f/861c0ed5-c7cf-4345-aef6-769aca2267bb/2cd70137-7cac-4dbc-bf29-1316ab8782c7/IMG_3511.mov?id=0a501320-e530-4727-a169-6638d4f179e2&table=block&spaceId=861c0ed5-c7cf-4345-aef6-769aca2267bb&expirationTimestamp=1719165600000&signature=ChZUKVqDXwtehx88J-UnLmN63S9dUerNcXN5ZcugaOw,"월~토 08:00~21:00
*매주 일요일 휴무",1인석,11,7,2인석,9,9,4인석,2,2,6인석,1,1,,,,0,26596600
 STACK LAYER coffee,37.598633,127.058051,저도 학생이었어서 이해합니다! 이야기 나누시는 손님들과 서로 존중해주시면 감사해요~,서울 동대문구 천장산로 28 1층,4시간,"3,500원",https://youtube.com/shorts/qZOFRC4XOTA,"월~금, 일 10:30~21:00
20:30 라스트 오더
*매주 토요일 휴무",1인석,4,4,2인석,6,6,,,,,,,,,,0,563885533
타스 카페,37.583174,127.00347,강아지 동반 환영해요.,서울 종로구 동숭길 117 2층,무제한,"4,800원",https://youtube.com/shorts/kg7-Z3tFHr4,"매일 12:00~21:00
20:30 라스트 오더",2인석,14,,4인석,1,,6인석,5,3,8인석,1,,12인석,1,1,0,1008989718
모베터블루스,37.583088,127.003974,3층에서 연극을 해요. 연극할 때는 소음 발생할 수 있는 점 고려해주세요.,서울 종로구 동숭4길 4,3시간,"4,000원",https://youtube.com/shorts/U-dpSoZkOP8,매일 12:00 - 22:00,1인석,9,3,4인석,8,4,,,,,,,,,,0,16473175
동숭동커피,37.58114,127.0047,"1인 4인석 사용 불가하고, 주말/휴일 카공, 노트북 영화 감상, 낮잠 불가합니다.",서울 종로구 동숭3길 6-4,무제한,"3,800원",https://youtube.com/shorts/_Xr4w1vHihU?feature=share,매일 11:30~21:30,3인석,4,3,4인석,4,3,,,,,,,,,,0,26891288
더스키,37.58097,127.0041,예의만 있으면 다 해드려요~ 책상 간격이 가까워요.,서울 종로구 동숭길 63 191빌딩 지하,무제한,"3,500원",https://youtube.com/shorts/ydUBHElKTyU,"월~금 08:30~22:00
토일 정보없음",1인석,6,2,2인석,14,,4인석,1,1,,,,,,,0,8258537
슬로스텝,37.58203,127.0035,야외 테라스가 있는 분위기 좋은 카페입니다.,서울 종로구 대학로8가길 89 3층 카페 슬로스텝,무제한,"5,000원",https://youtube.com/shorts/wAwxyN2DTLs,"월~금 11:30~22:00
토일 11:30~23:00",1인석,5,2,2인석,9,4,3인석,6,3,4인석,2,,6인석,1,1,0,25977363
굿네스카페,37.5898398,126.9994091,"말소리 정도의 소음은 있으니 정말 조용한 곳에서 공부하고 싶으시다면, 스터디카페를 가시길 권장드려요.",서울특별시 종로구 혜화동 번지 1층 9-8,2시간,"4,500원",,매일 9:00~18:00,,,,,,,,,,,,,,,,0,546266064
비건카페 달냥,37.58953,126.9991,식사 메뉴를 판매하고 있어 식사 시간대 이외가 카공하기에 편하실 것 같아. 한산한 시간대는 3~5시입니다.,서울특별시 종로구 혜화로 45 2층,무제한,"4,000원",,"일~월 11:00~21:00
목~토 11:00~21:00
*20:30 라스트오더
*화,수 정기휴무
",,,,,,,,,,,,,,,,0,1657655162
위치스 커피,37.585721,127.0003414,"저녁 시간에도 카공이 가능하나, 술을 판매하고 있으니 참고해주세요.",서울특별시 종로구 혜화로3길 5 명륜두상복합아남아파트,2시간,"4,000원",https://youtube.com/shorts/OTDqVu3B93U,매일 10:00~22:00,1인석,4,2,2인석,4,2,4인석,8,5,8인석,1,,,,,0,13015709
콩플레,37.5868081,127.0016585,"빵이 메인인 가게입니다. 일,월,화요일은 매장 휴무이니 참고해주세요!",서울특별시 종로구 창경궁로35길 19 1층,3시간,"4,500원",,"수~토 9:00~20:00
*일,월,화 정기휴무",,,,,,,,,,,,,,,,0,104674039
카페 55-1,37.5964519,127.0612721,"사람도 인테리어라고 생각해요. 카공하시는 분들도 환영합니다! 사람이 많을 때는 1인석, 또는 2인석으로 옮겨주시면 감사하겠습니다.",서울 동대문구 이문로30길 20 1층,3시간,"3,000원",https://youtube.com/shorts/kKee5IeZtjc,"매일 11:30~17:30
*20:30 라스트오더
*일요일은 휴무확인 전화 필요",1인석,6,4,2인석,1,,4인석,3,1,,,,,,,0,803230632
베브릿지 한국외대점,37.595882,127.060299,1인석이 없어 단체로 공부하러 오시면 감사해요~,서울 동대문구 휘경로 4-10,무제한,"3,000원",,매일 8:00-23:00,4인석,5,2,6인석,1,,,,,,,,,,,0,25411498
아일랜드비,37.5958483,127.060479,카공하기 좋은 환경을 조성했습니다~,서울 동대문구 휘경로 4-7 1층 아일랜드비,4시간,"3,500원",https://youtube.com/shorts/Fj_2me-g0xM,"월~금 8:00~23:00
토 10:00~18:00
일 10:00~22:00",1인석,6,6,2인석,4,4,4인석,9,6,5인석,1,1,6인석,1,1,0,20610092
레이지커피하우스,37.5957008,127.0607099,저도 외대 출신입니다! 카공족 환영해요~,서울 동대문구 휘경로 6-9 1층,3시간,"4,000원",https://youtube.com/shorts/E_mV-K-DYPQ,"월~금 11:00~22:00
토~일 12:00~19:00",1인석,4,4,2인석,4,4,4인석,5,3,,,,,,,0,446241922
고소운,37.5958409,127.060961,,서울 동대문구 휘경로2길 4 지하 1층,무제한,"4,000원",https://youtube.com/shorts/Qd0h8kXcCrY,"월~금 12:00~21:30
토~일 13:00~21:00
*라스트 오더 20:30/ 포장은 마감까지",2인석,4,4,3인석,1,,4인석,3,,6인석,1,,,,,0,1131068123
FEELYO,37.5956167,127.0611194,만석 시에는 회전을 위해 양해 부탁드려요!,서울 동대문구 휘경로2길 5-2 2층,"5시간
만석 시 3시간","4,300원",https://youtube.com/shorts/WdRfnjdqBD4?feature=share,"월~금 11:00~23:30
*라스트 오더 23:00
토~일 11:00~21:30
*라스트 오더 21:00",1인석,6,6,2인석,7,,4인석,6,2,,,,,,,0,1336670320
낫컴플리트,37.584176,126.9980977,사장님 부부께서 성대 출신이셔서 카공을 환영하는 분위기입니다!,서울특별시 종로구 성균관로 12-5 1층 2층,무제한,"4,300원",https://youtube.com/shorts/ouFWBI_tPWw,"월~토 12:00~21:00
20:00 라스트오더
*매주 일 휴무",1인석,10,10,4인석,2,2,6인석 다락방,1,1,12인석 다락방,1,8,,,,0,2015397398
한움뜰,37.584124,126.9972469,X,서울특별시 종로구 창경궁로29길 35,3시간,"4,000원",,매일 10;00~22:00,1인석,5,3,4인석,3,1,,,,,,,,,,0,1670832729
프롬네르,37.5903644,126.9935755,귀여운 웰시코기가 있어요! 많이 방문해주세요.,서울특별시 종로구 명륜5길 13,2시간,"4,000원",https://youtube.com/shorts/noq7bjGbDrw,"월 11:00~21:00
화~금 10:00~21:00
토 11:00~20:00
*일 정기휴무",1인석,3,2,2인석,4,1,3인석,2,0,4인석,2,2,,,,0,1146939784
아트트레블에이치,37.5895456,126.9940117,카페는 문화의 공간이다. 공부하는 공간이 아니다.,서울특별시 종로구 명륜길 62,카공 권장 X,"3,000원",https://youtube.com/shorts/6-AQ3-_6Z94,매일 07:00~20:00,2인석,2,2,6인석,2,0,,,,,,,,,,0,1691201235
베네딕션,37.5892731,126.9971405,평일은 괜찮지만 주말 특히 토요일에는 사람이 많고 회전율이 빠른 편입니다,서울특별시 종로구 성균관로 73 1층,2시간,"4,500원",,"화~토 11:30~29:00
*일,월 정기휴무
*18:50 라스트오더",,,,,,,,,,,,,,,,0,1782510962
카페꾸오레,37.5937286,127.058368,주말엔 교회 손님들이 많이 오시니 참고 부탁드려요~,서울특별시 동대문구 이문동 346-39,3시간,"3,500원",https://youtube.com/shorts/Dq3Xr0g3GDQ,매일 10:00~23:00,2인석,7,3,4인석,4,1,,,,,,,,,,0,20629149
쉴만한물가,37.5926739,127.0575262,수익의 일부를 좋은 곳에 사용합니다!,서울 동대문구 이문로 59,2시간,"2,500원",https://youtube.com/shorts/DHtbuYyY83o?feature=share,"월~금 09:00~18:00
토,일 08:00~17:00",1인석,6,4,4인석,19,10,,,,,,,,,,0,14856265
아임파이,37.5944244,127.0602173,만석 시에만 양해 부탁드려요~!,서울특별시 동대문구 휘경로2길 39,무제한,"4,300원",https://youtube.com/shorts/CqbPEM-pMWs?feature=share,"월~토 12:00~21:30
*일 정기휴무",1인석,9,9,2인석,5,0,3인석,1,0,4인석,2,0,,,,0,1584942510
비하인드미,37.5915543,127.0506068,X,서울특별시 동대문구 회기로 125 1층,무제한,"4,000원",https://youtube.com/shorts/GIfHsEnPy88,"매일 10:00~21:00
*22:30 라스트오더",1인석,3,1,3인석,3,1,4인석,1,0,5인석,1,0,,,,0,2103694654
카페 에이유,37.5923094,127.0515547,X,서울특별시 동대문구 경희대로1가길 12 1층,무제한,"4,000원",,매일 08:00~24:00,2인석,1,0,3인석,2,0,4인석,7,3,다인석,1,0,,,,0,1181489107
모즈플레이스,37.5925963,127.0518815,X,서울 동대문구 경희대로3길 11,4시간 권장,"3,500원",,"월~금 10:00~23:00
토,일 12:00~22:30",1인석,4,4,3인석,2,2,4인석,6,2,,,,,,,0,379678368
8번가,37.5927702,127.0519653,X,서울특별시 동대문구 경희대로3길 8 1층8번가카페,2시간 권장,"4,300원",https://youtube.com/shorts/IOK0gTlP3OM,"월~토 11:00~24:00
*22:30 라스트오더
일 11:00~22:00
*21:30 라스트오더",1인석,15,15,2인석,9,0,3인석,3,0,4인석,16,0,다인석,2,2,0,14723310
아인스카페,37.5920336,127.052158,만석 시에는 2시간 권장 부탁드려요~!,서울특별시 동대문구 경희대로 5 가동 3층,"무제한
만석 시 2시간","5,000원",https://youtube.com/shorts/Psg4hz_aGRw,"월~금 12:30~24:00
*23:00 라스트오더
토,일 13:00~23:00
*22:00 라스트오더",2인석,1,1,4인석,14,14,,,,,,,,,,0,12178569
녹원,37.5927304,127.0527277,X,서울특별시 동대문구 경희대로 14 지층,무제한,"4,300원",https://youtube.com/shorts/Gzy7IT5MnIo,"월~수,금~일 12:00~21:30
*목 정기휴무",1인석,4,2,2인석,3,0,3인석,1,0,4인석,3,1,다인석,2,2,0,8232347
카페오크라,37.5925983,127.0534313,요청시 콘센트 제공해드립니다!,서울특별시 동대문구 회기로21길 26,3시간 권장,"3,000원",,매일 08:00~23:00,1인석,7,0,2인석,4,0,3인석,1,0,4인석,3,0,,,,0,444973248
벤첸트,37.591561,127.053422,X,서울 동대문구 회기로21길 8-8 1층,3시간 권장,"4,000원",https://youtube.com/shorts/HjR2-Djzm7w,매일 10:00~22:00,2인석,1,1,4인석,10,10,,,,,,,,,,0,180336939
배트콩,37.5915229,127.0551624,X,서울특별시 동대문구 경희대로4길 52 1층 배트콩 커피숍,무제한,"3,000원",https://youtube.com/shorts/_SvWwB_5bxE,"월~금 08:00~22:00
토,일 11:00~22:00",2인석,3,0,3인석,2,0,4인석,2,2,,,,,,,0,23612658
ALGO COFFEE,37.5933361,127.0531156,X,서울 동대문구 경희대로6길 5 1층,6시간 권장,"5,000원",https://youtube.com/shorts/1909nY4ihq0,"월~금 11:00~21:00
20:30 라스트오더
일 12:00~19:00
18:30 라스트오더
*토 정기휴무",1인석,8,4,2인석,5,2,,,,,,,,,,0,2045054314
